songartist;songtitle;nn;anno
1 GIANT LEAP;My Culture;1;2023
883;Gli anni ('96);1;2023
883;Nord Sud Ovest Est;1;2023
AALIYAH;Try Again;1;2023
ABBA;Dancing Queen;1;2023
AC/DC;Back In Black;1;2023
AC/DC;It's a Long Way to the Top (Original Australian Release);1;2023
AC/DC;Shot Down In Flames;2;2023
ACHILLE LAURO;Stupidi Ragazzi;3;2023
ACHILLE LAURO, ROSE VILLAIN;Fragole;1;2023
ADRIANO CELENTANO;Azzurro;3;2023
ADRIANO CELENTANO;Chi non lavora non fa l'amore;1;2023
ADRIANO CELENTANO;Deus;1;2023
ADRIANO CELENTANO;Pregherò;2;2023
ADRIANO CELENTANO;Una carezza in un pugno;1;2023
ADRIANO PAPPALARDO;Ricominciamo;1;2023
A-HA;Take on me;1;2023
AIR & BETH HIRSCH;All I Need;1;2023
AL BANO & ROMINA POWER;Felicità;3;2023
ALAN SORRENTI;Figli Delle Stelle;1;2023
ALAN SORRENTI;Tu sei l'unica donna per me;1;2023
ALBERTO CAMERINI;Rock 'n' roll robot;1;2023
ALBERTO CAMERINI;Tanz Bambolina;1;2023
ALESSANDRO CANINO;Brutta;1;2023
ALEX FAROLFI;Loving This New Feeling (feat. Tyte);4;2023
ALEX FAROLFI;Time Won't Wait (feat. Aaron Pfeiffer);2;2023
ALMOST MONDAY;only wanna dance;1;2023
AMY WINEHOUSE;Love is a losing game;1;2023
ANDY WILLIAMS;It's the Most Wonderful Time of the Year;1;2023
ANNA OXA;E' Tutto Un Attimo;1;2023
ANNALISA;Euforia;1;2023
ANNALISA;Mon Amour;1;2023
ANNALISA;Ragazza sola;3;2023
ANOTR & ABEL BALDER;Relax My Eyes;1;2023
ANTONELLO VENDITTI;Alta Marea;1;2023
ANTONELLO VENDITTI;Amici mai;1;2023
ANTONELLO VENDITTI;Piero e Cinzia;1;2023
ANTONELLO VENDITTI;Roma capoccia;1;2023
ANTONIO OF ITALY;You Are My Sunshine;2;2023
APOLLO 440;Stop The Rock;1;2023
ARETHA FRANKLIN;(You Make Me Feel Like) A Natural Woman;1;2023
ARETHA FRANKLIN & THE BLUES BROTHERS;Think;1;2023
ARIETE;Mare di guai;4;2023
ARIETE;Un'altra ora;4;2023
ARLO PARKS;Weightless;1;2023
ARLO PARKS;Weightless (Radio Edit);4;2023
ARMAND VAN HELDEN;You Don't Know Me (feat. Duane Harden);2;2023
ARMANDO TROVAJOLI;Che Vuole Questa Musica Stasera;1;2023
ARTICOLO 31;UN BEL VIAGGIO;1;2023
ASH;Beginnings;1;2023
BANDOLERO;Paris Latino (Original Version 1983);1;2023
BARRY MANILOW;Mandy;1;2023
BARRY WHITE;Let The Music Play (Single Version);1;2023
BAUSTELLE;Contro Il Mondo;6;2023
BAUSTELLE;Milano è la metafora dell'amore;3;2023
BEABADOOBEE;Glue Song;9;2023
BECK;Thinking About You;1;2023
BELINDA CARLISLE;Heaven Is A Place On Earth;1;2023
BEN E. KING;Stand By Me;2;2023
BEN HARPER;Diamonds on the Inside;1;2023
BEN KIM;Somebody To Love (Gorgon City Remix);1;2023
BENNY BENASSI;Cinema (feat. Gary Go) (Extended Mix);1;2023
BENNY BENASSI PRESENTS THE BIZ;Satisfaction (Isak Original Edit);1;2023
BENNY BENASSI PRESENTS THE BIZ;Satisfaction (Just____us Remix);1;2023
BEYONCÉ & KENDRICK LAMAR;AMERICA HAS A PROBLEM;1;2023
BIAGIO ANTONACCI, BENNY BENASSI;Tridimensionale;6;2023
BILL CONTI;Going the Distance;3;2023
BILL WITHERS;Ain't No Sunshine;1;2023
BILLIE EILISH;I Love You;1;2023
BILLIE HOLIDAY;Blue Moon;1;2023
BILLY BRAGG & WILCO;When the Roses Bloom Again;1;2023
BILLY IDOL;White Wedding (Parts 1 And 2) (Shotgun Mix);1;2023
BIRTHH;Jello;9;2023
BJÖRK & ROSALÍA;Oral;1;2023
BLANCO;Bruciasse Il Cielo;2;2023
BLANCO, MINA;Un Briciolo Di Allegria;5;2023
BLINK 182;All the Small Things;3;2023
BLINK 182;ONE MORE TIME;4;2023
BLUR;The Narcissist;3;2023
BLUVERTIGO;La Crisi;1;2023
BOB DYLAN;Girl from the North Country;2;2023
BOB DYLAN;Lay Lady Lay;1;2023
BOB MARLEY & THE WAILERS;Could You Be Loved;1;2023
BOB MARLEY & THE WAILERS;Three Little Birds;1;2023
BOB SINCLAR;Love Generation (feat. Gary Pine) (Club Mix);1;2023
BOB SINCLAR;World, Hold On (feat. Steve Edwards);1;2023
BOBBY DARIN;Beyond the Sea;3;2023
BOBBY DARIN;The Good Life;1;2023
BOBBY HEBB;Sunny;1;2023
BOBBY WOMACK;Across 110th Street;2;2023
BON JOVI;It's My Life;1;2023
BONEY M;Daddy Cool;1;2023
BRESH, PINGUINI TATTICI NUCLEARI;Nightmares;4;2023
BRUCE SPRINGSTEEN;Dancing In the Dark;1;2023
BRUCE SPRINGSTEEN;Pay me my money down;1;2023
BRUCE SPRINGSTEEN;Streets of Philadelphia;1;2023
BRUNO LAUZI;Amore caro, amore bello;2;2023
BRUNORI SAS;La verità;1;2023
BRYAN FERRY;The Way You Look Tonight;2;2023
BUFFALO SPRINGFIELD;For What It's Worth;1;2023
C.S.I.;Forma E Sostanza;1;2023
CAKE;I Will Survive;2;2023
CALCUTTA;2minuti;7;2023
CAMELPHAT & ELDERBROOK;Cola;1;2023
CANDI STATON;Young Hearts Run Free;1;2023
CAPAREZZA;Fuori dal tunnel;1;2023
CARMEN CONSOLI;Confusa e Felice;1;2023
CASINO ROYALE;Anno zero;2;2023
CASINO ROYALE;CRX;1;2023
CATERINA CASELLI;Nessuno Mi Può Giudicare;2;2023
CENTORY;Point of No Return;1;2023
CESARE CREMONINI;Mondo;1;2023
CESARE CREMONINI & MASSENA BOYS;Eccolo Qua Il Natale (Una Notte Tra Tante);1;2023
CHARLES AZNAVOUR;Les comédiens;1;2023
CHRIS ISAAK;Baby Did a Bad Bad Thing;2;2023
CHRIS ISAAK;Wicked Game;2;2023
CHUCK BERRY;You Never Can Tell;1;2023
CLAUDIA MORI;Non succederà più (feat. Adriano Celentano);2;2023
CLAUDIO BAGLIONI;Avrai;1;2023
CLAUDIO BAGLIONI;La vita è adesso;1;2023
CLAUDIO BAGLIONI;Mille Giorni Di Te E Di Me;1;2023
CLAUDIO BAGLIONI;Strada Facendo;1;2023
COCKI MAZZETTI;La domenica;1;2023
COEZ, FRAH QUINTALE;Che colpa ne ho;4;2023
COLAPESCE & DIMARTINO;Musica leggerissima;1;2023
COLAPESCE & DIMARTINO;Sesso e architettura;3;2023
COLAPESCE & DIMARTINO;Splash;6;2023
COLAPESCE & DIMARTINO;Toy Boy (feat. Ornella Vanoni);1;2023
COLDPLAY;Don't Panic;1;2023
COLDPLAY;Humankind;2;2023
COLDPLAY;In my place;1;2023
COLOMBRE;Più di prima (feat. Franco126);2;2023
COMA_COSE;AGOSTO MORSICA;4;2023
COMA_COSE;Chiamami;1;2023
COMA_COSE;L'addio;2;2023
COSMO;La verità;1;2023
CREEDENCE CLEARWATER REVIVAL;Who'll Stop The Rain;1;2023
CRISPIE & ILIRA;Ladida (My Heart Goes Boom);1;2023
CYNDI LAUPER;Girls Just Want to Have Fun;1;2023
CYPRESS HILL;Insane In the Brain;1;2023
D4VD;Here With Me;3;2023
DAFT PUNK;Giorgio by Moroder;1;2023
DAFT PUNK;One More Time;1;2023
DANIELE SILVESTRI;Le cose in comune;1;2023
DANIELE SILVESTRI;L'uomo nello specchio (feat. Fulminacci);1;2023
DANIT;Lunita;3;2023
DAVID KUSHNER;Daylight;4;2023
DAVID PENN & KPD;Ain't Got No;1;2023
DAVID SYLVIAN & RYUICHI SAKAMOTO;Forbidden Colours;1;2023
DEEJAY ALL STARS;A te (feat. Jovanotti);1;2023
DEEJAY ALL STARS;Tutti Pazzi per Merry Xmas;1;2023
DELTA V;Un'estate fa;1;2023
DEPECHE MODE;Ghosts Again;2;2023
DEPECHE MODE;Ghosts Again (Radio Edit);8;2023
DEPECHE MODE;Never Let Me Down Again;1;2023
DEPECHE MODE;Personal Jesus;1;2023
DEVENDRA BANHART;Santa Maria de Feira;1;2023
DINAH WASHINGTON;What A Difference A Day Made;1;2023
DIODATO;Ci vorrebbe un miracolo;2;2023
DIODATO;Così speciale;1;2023
DIODATO;Occhiali da sole;1;2023
DIRE STRAITS;Brothers In Arms;1;2023
DIRE STRAITS;Down To The Waterline;1;2023
DIRE STRAITS;Local Hero Wild Theme (Live);1;2023
DIRE STRAITS;Private Investigations;1;2023
DIRE STRAITS;Sultans Of Swing;2;2023
