songartist;nn
'VASCO ROSSI';128
'THE WEEKND';102
'NEGRAMARO';91
'COLDPLAY';89
'U2';73
'DUA LIPA';64
'ELISA';64
'FRANCO BATTIATO';64
'POST MALONE';62
'JOVANOTTI';61
'HARRY STYLES';60
'PINK FLOYD';56
'CESARE CREMONINI';50
'IMAGINE DRAGONS';47
'AC/DC';46
'ADELE';46
'THE ROLLING STONES';45
'ED SHEERAN';44
'LUCIO BATTISTI';44
'LUCIO DALLA';44
'PINGUINI TATTICI NUCLEARI';43
'BRUNORI SAS';43
'DEEJAY ALL STARS';39
'GIPSY KINGS';39
'THE BEATLES';39
'SAM SMITH';38
'ADRIANO CELENTANO';38
'DIRE STRAITS';35
'CALCUTTA';33
'JACOB BELLENS';33
'SOFI TUKKER';33
'TOMMASO PARADISO';33
'MAX GAZZÈ';32
'BILLIE EILISH';32
'ALICIA KEYS';31
'SAMUEL';31
'DANIT';30
'MILEY CYRUS';30
'LENNY KRAVITZ';30
'MAROON 5';29
'ELIO E LE STORIE TESE';29
'FRANCESCO DE GREGORI';28
'BOB DYLAN';28
'BRUNO MARS, ANDERSON .PAAK, SILK SONIC';28
'THEGIORNALISTI';28
'THIRTY SECONDS TO MARS';27
'ZUCCHERO';27
'ELBOW';27
'LUCA CARBONI';27
'LP';27
'JOAN THIELE';27
