songartist,nn
1 GIANT LEAP,1
883,1
883,1
AALIYAH,1
ABBA,1
AC/DC,1
AC/DC,1
AC/DC,2
ACHILLE LAURO,3
ACHILLE LAURO, ROSE VILLAIN,1
ADRIANO CELENTANO,3
ADRIANO CELENTANO,1
ADRIANO CELENTANO,1
ADRIANO CELENTANO,2
ADRIANO CELENTANO,1
ADRIANO PAPPALARDO,1
A-HA,1
AIR & BETH HIRSCH,1
AL BANO & ROMINA POWER,3
ALAN SORRENTI,1
ALAN SORRENTI,1
ALBERTO CAMERINI,1
ALBERTO CAMERINI,1
ALESSANDRO CANINO,1
ALEX FAROLFI,4
ALEX FAROLFI,2
ALMOST MONDAY,1
AMY WINEHOUSE,1
ANDY WILLIAMS,1
ANNA OXA,1
ANNALISA,1
ANNALISA,1
ANNALISA,3
ANOTR & ABEL BALDER,1
ANTONELLO VENDITTI,1
ANTONELLO VENDITTI,1
ANTONELLO VENDITTI,1
ANTONELLO VENDITTI,1
ANTONIO OF ITALY,2
APOLLO 440,1
ARETHA FRANKLIN,1
ARETHA FRANKLIN & THE BLUES BROTHERS,1
ARIETE,4
ARIETE,4
ARLO PARKS,1
ARLO PARKS,4
ARMAND VAN HELDEN,2
ARMANDO TROVAJOLI,1
ARTICOLO 31,1
ASH,1
BANDOLERO,1
BARRY MANILOW,1
BARRY WHITE,1
BAUSTELLE,6
BAUSTELLE,3
BEABADOOBEE,9
BECK,1
BELINDA CARLISLE,1
BEN E. KING,2
BEN HARPER,1
BEN KIM,1
BENNY BENASSI,1
BENNY BENASSI PRESENTS THE BIZ,1
BENNY BENASSI PRESENTS THE BIZ,1
BEYONCÉ & KENDRICK LAMAR,1
BIAGIO ANTONACCI, BENNY BENASSI,6
BILL CONTI,3
BILL WITHERS,1
BILLIE EILISH,1
BILLIE HOLIDAY,1
BILLY BRAGG & WILCO,1
BILLY IDOL,1
BIRTHH,9
BJÖRK & ROSALÍA,1
BLANCO,2
BLANCO, MINA,5
BLINK 182,3
BLINK 182,4
BLUR,3
BLUVERTIGO,1
BOB DYLAN,2
BOB DYLAN,1
BOB MARLEY & THE WAILERS,1
BOB MARLEY & THE WAILERS,1
BOB SINCLAR,1
BOB SINCLAR,1
BOBBY DARIN,3
BOBBY DARIN,1
BOBBY HEBB,1
BOBBY WOMACK,2
BON JOVI,1
BONEY M,1
BRESH, PINGUINI TATTICI NUCLEARI,4
BRUCE SPRINGSTEEN,1
BRUCE SPRINGSTEEN,1
BRUCE SPRINGSTEEN,1
BRUNO LAUZI,2
BRUNORI SAS,1
BRYAN FERRY,2
BUFFALO SPRINGFIELD,1
C.S.I.,1
CAKE,2
CALCUTTA,7
CAMELPHAT & ELDERBROOK,1
CANDI STATON,1
CAPAREZZA,1
CARMEN CONSOLI,1
CASINO ROYALE,2
CASINO ROYALE,1
CATERINA CASELLI,2
CENTORY,1
CESARE CREMONINI,1
CESARE CREMONINI & MASSENA BOYS,1
CHARLES AZNAVOUR,1
CHRIS ISAAK,2
CHRIS ISAAK,2
CHUCK BERRY,1
CLAUDIA MORI,2
CLAUDIO BAGLIONI,1
CLAUDIO BAGLIONI,1
CLAUDIO BAGLIONI,1
CLAUDIO BAGLIONI,1
COCKI MAZZETTI,1
COEZ, FRAH QUINTALE,4
COLAPESCE & DIMARTINO,1
COLAPESCE & DIMARTINO,3
COLAPESCE & DIMARTINO,6
COLAPESCE & DIMARTINO,1
COLDPLAY,1
COLDPLAY,2
COLDPLAY,1
COLOMBRE,2
COMA_COSE,4
COMA_COSE,1
COMA_COSE,2
COSMO,1
CREEDENCE CLEARWATER REVIVAL,1
CRISPIE & ILIRA,1
CYNDI LAUPER,1
CYPRESS HILL,1
D4VD,3
DAFT PUNK,1
DAFT PUNK,1
DANIELE SILVESTRI,1
DANIELE SILVESTRI,1
DANIT,3
DAVID KUSHNER,4
DAVID PENN & KPD,1
DAVID SYLVIAN & RYUICHI SAKAMOTO,1
DEEJAY ALL STARS,1
DEEJAY ALL STARS,1
DELTA V,1
DEPECHE MODE,2
DEPECHE MODE,8
DEPECHE MODE,1
DEPECHE MODE,1
DEVENDRA BANHART,1
DINAH WASHINGTON,1
DIODATO,2
DIODATO,1
DIODATO,1
DIRE STRAITS,1
